id,production_schedule_id,sequence,location_code,event_type,event_time,advertised_event_time
173815069,7507872,20,MKNSCEN,D,2020-12-23 00:21:30,2020-12-23 00:21:00
173815068,7507872,19,MKNSCEN,A,2020-12-23 00:20:30,2020-12-23 00:21:00
173815067,7507872,18,BLTCHLY,D,2020-12-23 00:13:00,2020-12-23 00:13:00
173815066,7507872,17,BLTCHLY,A,2020-12-23 00:11:30,2020-12-23 00:12:00
173815065,7507872,16,LTNBZRD,D,2020-12-23 00:06:00,2020-12-23 00:06:00
173815064,7507872,15,LTNBZRD,A,2020-12-23 00:04:00,2020-12-23 00:04:00
173815061,7507872,12,BERKHMD,D,2020-12-22 23:51:30,2020-12-22 23:51:00
173815060,7507872,11,BERKHMD,A,2020-12-22 23:50:00,2020-12-22 23:50:00
173815058,7507872,9,HEMLHMP,D,2020-12-22 23:46:00,2020-12-22 23:46:00
173815057,7507872,8,HEMLHMP,A,2020-12-22 23:44:30,2020-12-22 23:45:00
173815056,7507872,7,WATFDJ,D,2020-12-22 23:38:00,2020-12-22 23:38:00
173815055,7507872,6,WATFDJ,A,2020-12-22 23:37:00,2020-12-22 23:37:00
173815049,7507872,0,EUSTON,D,2020-12-22 23:22:00,2020-12-22 23:22:00
173815079,7507875,1,STRBDG1,A,2020-12-22 22:13:00,2020-12-22 22:13:00
173815078,7507875,0,STRBDGT,D,2020-12-22 22:10:00,2020-12-22 22:10:00
173817130,7507965,27,RUGL,A,2020-12-22 12:39:00,2020-12-22 12:39:00
173817128,7507965,25,RUGLTWN,D,2020-12-22 12:35:30,2020-12-22 12:35:00
173817127,7507965,24,RUGLTWN,A,2020-12-22 12:34:30,2020-12-22 12:35:00
173817126,7507965,23,HDNS,D,2020-12-22 12:29:00,2020-12-22 12:29:00
173817125,7507965,22,HDNS,A,2020-12-22 12:28:00,2020-12-22 12:28:00
173817124,7507965,21,CNCK,D,2020-12-22 12:25:00,2020-12-22 12:25:00
173817123,7507965,20,CNCK,A,2020-12-22 12:24:00,2020-12-22 12:24:00
173817121,7507965,18,LNDYW,D,2020-12-22 12:21:00,2020-12-22 12:21:00
173817120,7507965,17,LNDYW,A,2020-12-22 12:20:30,2020-12-22 12:21:00
173817119,7507965,16,BLOXN,D,2020-12-22 12:17:30,2020-12-22 12:17:00
173817118,7507965,15,BLOXN,A,2020-12-22 12:16:30,2020-12-22 12:17:00
173817117,7507965,14,BLOXWCH,D,2020-12-22 12:15:30,2020-12-22 12:15:00
173817116,7507965,13,BLOXWCH,A,2020-12-22 12:15:00,2020-12-22 12:15:00
173817114,7507965,11,WALSALL,D,2020-12-22 12:09:30,2020-12-22 12:09:00
173817113,7507965,10,WALSALL,A,2020-12-22 12:08:30,2020-12-22 12:09:00
173817111,7507965,8,BSCTSTA,D,2020-12-22 12:05:30,2020-12-22 12:05:00
173817110,7507965,7,BSCTSTA,A,2020-12-22 12:03:30,2020-12-22 12:04:00
173817109,7507965,6,TAMEBDG,D,2020-12-22 12:02:00,2020-12-22 12:02:00
173817108,7507965,5,TAMEBDG,A,2020-12-22 12:00:30,2020-12-22 12:01:00
173817103,7507965,0,BHAMNWS,D,2020-12-22 11:47:00,2020-12-22 11:47:00
173826169,7508393,41,BRMSGRV,A,2020-12-22 18:07:00,2020-12-22 18:07:00
173826167,7508393,39,LONB,D,2020-12-22 17:58:00,2020-12-22 17:58:00
173826166,7508393,38,LONB,A,2020-12-22 17:54:30,2020-12-22 17:55:00
173826165,7508393,37,NRTF,D,2020-12-22 17:52:30,2020-12-22 17:52:00
173826164,7508393,36,NRTF,A,2020-12-22 17:52:00,2020-12-22 17:52:00
173826163,7508393,35,KNORTON,D,2020-12-22 17:49:30,2020-12-22 17:49:00
173826162,7508393,34,KNORTON,A,2020-12-22 17:48:30,2020-12-22 17:49:00
173826161,7508393,33,BOURNVL,D,2020-12-22 17:46:00,2020-12-22 17:46:00
173826160,7508393,32,BOURNVL,A,2020-12-22 17:45:30,2020-12-22 17:46:00
173826159,7508393,31,SELYOAK,D,2020-12-22 17:43:30,2020-12-22 17:43:00
173826158,7508393,30,SELYOAK,A,2020-12-22 17:42:30,2020-12-22 17:43:00
173826157,7508393,29,UNVRSYB,D,2020-12-22 17:41:00,2020-12-22 17:41:00
173826156,7508393,28,UNVRSYB,A,2020-12-22 17:40:00,2020-12-22 17:40:00
173826155,7508393,27,FIVEWYS,D,2020-12-22 17:37:00,2020-12-22 17:37:00
173826154,7508393,26,FIVEWYS,A,2020-12-22 17:36:00,2020-12-22 17:36:00
173826153,7508393,25,BHAMNWS,D,2020-12-22 17:33:00,2020-12-22 17:33:00
173826152,7508393,24,BHAMNWS,A,2020-12-22 17:31:00,2020-12-22 17:31:00
173826150,7508393,22,ASTON,D,2020-12-22 17:24:30,2020-12-22 17:24:00
173826149,7508393,21,ASTON,A,2020-12-22 17:23:30,2020-12-22 17:24:00
173826148,7508393,20,GRAVLYH,D,2020-12-22 17:21:00,2020-12-22 17:21:00
173826147,7508393,19,GRAVLYH,A,2020-12-22 17:20:30,2020-12-22 17:21:00
